"Respondent","Database1","Database2","Database3","Database4","Database5","Database6","Database7","Database8","Database9","Database10","Database11","Database12","Database13"
27910,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27918,"Elasticsearch","MongoDB","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
27919,"Firebase","MongoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27921,"MongoDB","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27934,"Elasticsearch","Microsoft SQL Server","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
27938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27943,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27954,"MariaDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27967,"Couchbase","DynamoDB","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL","SQLite",NA,NA,NA,NA,NA
27973,"SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27982,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28001,"MariaDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28010,"Elasticsearch","MariaDB","MongoDB","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA
28014,"MongoDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28020,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28026,"Firebase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28029,"MongoDB","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28034,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28040,"MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28063,"Microsoft SQL Server","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28064,"MariaDB","Microsoft SQL Server","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
28065,"Elasticsearch","MongoDB","MySQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
28074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28083,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28085,"MariaDB","Microsoft SQL Server","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
28090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28092,"Firebase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28130,"Cassandra","Elasticsearch","MySQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
28132,"MongoDB","Microsoft SQL Server","MySQL","Oracle","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
28133,"Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28165,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28169,"Cassandra","Couchbase","DynamoDB","Elasticsearch","Firebase","MariaDB","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL","Redis","SQLite"
28174,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28195,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28200,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28204,"MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28209,"Microsoft SQL Server","MySQL","Oracle","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
28218,"DynamoDB","Elasticsearch","MongoDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
28223,"Cassandra","Elasticsearch","Firebase","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
28227,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28233,"Firebase","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28242,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28244,"Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28249,"Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28252,"Microsoft SQL Server","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28256,"MariaDB","Microsoft SQL Server","MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA
28262,"MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28265,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28266,"Microsoft SQL Server","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28290,"Couchbase","Elasticsearch","MongoDB","Microsoft SQL Server","MySQL","Redis","SQLite",NA,NA,NA,NA,NA,NA
28294,"MongoDB","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28296,"Firebase","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28302,"Couchbase","MongoDB","Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
28311,"MongoDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28322,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28325,"Firebase","MariaDB","MongoDB","MySQL","Oracle","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA
28329,"Firebase","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
28333,"MariaDB","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA
28345,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28346,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28348,"MariaDB","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
28352,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28371,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28373,"MongoDB","MySQL","PostgreSQL","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA
28384,"MariaDB","MongoDB","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
28387,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28398,"Firebase","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28406,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28407,"MariaDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
28408,"Microsoft SQL Server","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28416,"Microsoft SQL Server","PostgreSQL","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
28434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28445,"MySQL","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28469,"Firebase","Microsoft SQL Server","Oracle","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
28472,"MongoDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28474,"Cassandra","MongoDB","Microsoft SQL Server","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA
28478,"Firebase","MongoDB","Microsoft SQL Server","MySQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA
28481,"Firebase","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28492,"Microsoft SQL Server","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28494,"Oracle","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28495,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28497,"Couchbase","Elasticsearch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28512,"Cassandra","Elasticsearch","MariaDB","MongoDB","MySQL","PostgreSQL","Redis","SQLite","Other(s):",NA,NA,NA,NA
28513,"MySQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28531,"Firebase","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28537,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28540,"Elasticsearch","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
28551,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28552,"Firebase","MariaDB","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
28555,"Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28560,"DynamoDB","Elasticsearch","MySQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
28569,"MariaDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL","Redis","SQLite","Other(s):",NA,NA,NA,NA,NA
28571,"Firebase","MariaDB","MongoDB","Microsoft SQL Server","MySQL","Oracle","SQLite","Other(s):",NA,NA,NA,NA,NA
28575,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28576,"MariaDB","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
28581,"Microsoft SQL Server","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28586,"MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28592,"MongoDB","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28594,"MariaDB","Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28597,"DynamoDB","Elasticsearch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28601,"MariaDB","MongoDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA
28608,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28610,"Elasticsearch","MariaDB","MySQL","PostgreSQL","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA
28614,"Microsoft SQL Server","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28620,"SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28621,"Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
28628,"MongoDB","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
28634,"MongoDB","MySQL","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
28636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28642,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28650,"MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28653,"MongoDB","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28663,"MariaDB","MongoDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28667,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28670,"MongoDB","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
28681,"DynamoDB","MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
28682,"Firebase","MongoDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA
28693,"MongoDB","Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28705,"DynamoDB","Elasticsearch","MongoDB","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA
28720,"Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28741,"Microsoft SQL Server","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28743,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28747,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28750,"MongoDB","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28754,"MongoDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28769,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28777,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28782,"Cassandra","Elasticsearch","MariaDB","MongoDB","MySQL","Oracle","PostgreSQL","Redis",NA,NA,NA,NA,NA
28786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28793,"Elasticsearch","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
28795,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28796,"MariaDB","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28800,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28816,"Microsoft SQL Server","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28828,"Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
28829,"Cassandra","DynamoDB","Elasticsearch","Firebase","Microsoft SQL Server","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA
28837,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28838,"MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28854,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28856,"Elasticsearch","MariaDB","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28858,"Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28864,"Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28872,"Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28873,"Elasticsearch","MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA
28879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28882,"DynamoDB","Elasticsearch","Microsoft SQL Server","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA
28892,"Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28908,"Firebase","MySQL","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA
28911,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28912,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28921,"DynamoDB","Elasticsearch","Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28929,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28936,"Oracle","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28938,"Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28951,"Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28952,"Microsoft SQL Server","MySQL","Oracle","PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA
28959,"Firebase","MariaDB","MongoDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA
28969,"PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28974,"Cassandra","Couchbase","Elasticsearch","MongoDB","MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA
28982,"MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28986,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28988,"Microsoft SQL Server","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29001,"MongoDB","Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29002,"Elasticsearch","Firebase","Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29010,"DynamoDB","MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
29017,"MongoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29021,"Microsoft SQL Server","MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29040,"MongoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29041,"DynamoDB","Elasticsearch","MariaDB","MongoDB","MySQL","Oracle","PostgreSQL","SQLite",NA,NA,NA,NA,NA
29045,"Cassandra","Couchbase","Firebase","MariaDB","MongoDB","PostgreSQL","Redis","SQLite","Other(s):",NA,NA,NA,NA
29052,"MySQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29054,"Microsoft SQL Server","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29079,"Couchbase","DynamoDB","Elasticsearch","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
29081,"Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29086,"DynamoDB","MariaDB","Microsoft SQL Server","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
29111,"Elasticsearch","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29113,"MongoDB","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29118,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29121,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29129,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29141,"Elasticsearch","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29142,"Elasticsearch","Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29150,"Cassandra","Elasticsearch","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29177,"Cassandra","Elasticsearch","MariaDB","MongoDB","MySQL","Oracle","PostgreSQL","Redis","SQLite",NA,NA,NA,NA
29188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29195,"MongoDB","MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
29197,"MongoDB","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29207,"Microsoft SQL Server","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29208,"Microsoft SQL Server","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29216,"DynamoDB","Elasticsearch","MongoDB","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA
29217,"Microsoft SQL Server","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29218,"Firebase","MariaDB","MongoDB","Microsoft SQL Server","MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA
29222,"Elasticsearch","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
29234,"Firebase","Microsoft SQL Server","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
29241,"Elasticsearch","MongoDB","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
29247,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29259,"MariaDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29274,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29290,"MongoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29306,"MySQL","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29308,"Microsoft SQL Server","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29314,"MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29318,"Microsoft SQL Server","MySQL","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
29324,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29339,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29349,"MariaDB","Microsoft SQL Server","MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA
29356,"Firebase","Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29357,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29362,"Elasticsearch","MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA
29364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29375,"MongoDB","Microsoft SQL Server","MySQL","Oracle","PostgreSQL","SQLite","Other(s):",NA,NA,NA,NA,NA,NA
29398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29405,"PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29407,"MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29417,"MySQL","Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29422,"PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29430,"MongoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29438,"PostgreSQL","Redis","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29444,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29454,"Firebase","MySQL","Oracle","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA
29458,"DynamoDB","Elasticsearch","MongoDB","Microsoft SQL Server","Redis","Other(s):",NA,NA,NA,NA,NA,NA,NA
29473,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29477,"Cassandra","DynamoDB","MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA
29481,"Elasticsearch","Microsoft SQL Server","MySQL","Oracle","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA
29484,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29486,"Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29487,"Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29497,"Microsoft SQL Server","MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
29502,"PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29506,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29512,"Firebase","MongoDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
29516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29517,"DynamoDB","Elasticsearch","MongoDB","Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA
29519,"Couchbase","DynamoDB","Firebase","MySQL","Oracle","PostgreSQL","Other(s):",NA,NA,NA,NA,NA,NA
29520,"Microsoft SQL Server","MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
29525,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29526,"Microsoft SQL Server","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29527,"Microsoft SQL Server","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29543,"DynamoDB","Microsoft SQL Server","MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA
29557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29576,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29580,"MariaDB","MongoDB","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29584,"MySQL","PostgreSQL","Redis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29585,"MariaDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29586,"MongoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29587,"Cassandra","Elasticsearch","MariaDB","MongoDB","MySQL","Redis",NA,NA,NA,NA,NA,NA,NA
29588,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
